Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,15/12/2019,Wolves,Tottenham,1,2
E0,15/12/2019,Arsenal,Man City,0,3
E0,16/12/2019,Crystal Palace,Brighton,1,1
E0,21/12/2019,Everton,Arsenal,0,0
E0,21/12/2019,Aston Villa,Southampton,1,3
E0,21/12/2019,Bournemouth,Burnley,0,1
E0,21/12/2019,Brighton,Sheffield United,0,1
E0,21/12/2019,Newcastle,Crystal Palace,1,0
E0,21/12/2019,Norwich,Wolves,1,2
E0,21/12/2019,Man City,Leicester,3,1
E0,22/12/2019,Watford,Man United,2,0
E0,22/12/2019,Tottenham,Chelsea,0,2
E0,26/12/2019,Tottenham,Brighton,2,1
E0,26/12/2019,Aston Villa,Norwich,1,0
E0,26/12/2019,Bournemouth,Arsenal,1,1
E0,26/12/2019,Chelsea,Southampton,0,2
E0,26/12/2019,Crystal Palace,West Ham,2,1
E0,26/12/2019,Everton,Burnley,1,0
E0,26/12/2019,Sheffield United,Watford,1,1
E0,26/12/2019,Man United,Newcastle,4,1
E0,26/12/2019,Leicester,Liverpool,0,4
E0,27/12/2019,Wolves,Man City,3,2
E0,28/12/2019,Brighton,Bournemouth,2,0
E0,28/12/2019,Newcastle,Everton,1,2
E0,28/12/2019,Southampton,Crystal Palace,1,1
E0,28/12/2019,Watford,Aston Villa,3,0
E0,28/12/2019,Norwich,Tottenham,2,2
E0,28/12/2019,West Ham,Leicester,1,2
E0,28/12/2019,Burnley,Man United,0,2
E0,29/12/2019,Arsenal,Chelsea,1,2
E0,29/12/2019,Liverpool,Wolves,1,0
E0,29/12/2019,Man City,Sheffield United,2,0
E0,01/01/2020,Brighton,Chelsea,1,1
E0,01/01/2020,Burnley,Aston Villa,1,2
E0,01/01/2020,Newcastle,Leicester,0,3
E0,01/01/2020,Southampton,Tottenham,1,0
E0,01/01/2020,Watford,Wolves,2,1
E0,01/01/2020,Man City,Everton,2,1
E0,01/01/2020,Norwich,Crystal Palace,1,1
E0,01/01/2020,West Ham,Bournemouth,4,0
E0,01/01/2020,Arsenal,Man United,2,0
E0,02/01/2020,Liverpool,Sheffield United,2,0
E0,10/01/2020,Sheffield United,West Ham,1,0
E0,11/01/2020,Crystal Palace,Arsenal,1,1
E0,11/01/2020,Chelsea,Burnley,3,0
E0,11/01/2020,Everton,Brighton,1,0
E0,11/01/2020,Leicester,Southampton,1,2
E0,11/01/2020,Man United,Norwich,4,0
E0,11/01/2020,Wolves,Newcastle,1,1
E0,11/01/2020,Tottenham,Liverpool,0,1
E0,12/01/2020,Bournemouth,Watford,0,3
E0,12/01/2020,Aston Villa,Man City,1,6
