Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E2,2019-08-24,Wycombe,Southend,4,3
E2,2019-08-31,Accrington,Milton Keynes Dons,2,1
E2,2019-08-31,AFC Wimbledon,Wycombe,0,0
E2,2019-08-31,Blackpool,Portsmouth,1,1
E2,2019-08-31,Burton,Bristol Rvs,2,0
E2,2019-08-31,Gillingham,Bolton,5,0
E2,2019-08-31,Ipswich,Shrewsbury,3,0
E2,2019-08-31,Lincoln,Fleetwood Town,2,0
E2,2019-08-31,Oxford,Coventry,3,3
E2,2019-08-31,Peterboro,Sunderland,3,0
E2,2019-08-31,Rotherham,Tranmere,1,1
E2,2019-08-31,Southend,Rochdale,0,3
E2,2019-09-07,Milton Keynes Dons,AFC Wimbledon,2,1
E2,2019-09-07,Doncaster,Rotherham,2,1
E2,2019-09-07,Bristol Rvs,Accrington,3,3
E2,2019-09-07,Coventry,Blackpool,3,2
E2,2019-09-07,Fleetwood Town,Oxford,2,1
E2,2019-09-07,Tranmere,Gillingham,2,2
E2,2019-09-07,Wycombe,Lincoln,3,1
E2,2019-09-14,Accrington,Sunderland,1,3
E2,2019-09-14,AFC Wimbledon,Shrewsbury,1,1
E2,2019-09-14,Blackpool,Milton Keynes Dons,0,3
E2,2019-09-14,Burton,Coventry,0,0
E2,2019-09-14,Gillingham,Wycombe,2,0
E2,2019-09-14,Ipswich,Doncaster,0,0
E2,2019-09-14,Lincoln,Bristol Rvs,0,1
E2,2019-09-14,Oxford,Tranmere,3,0
E2,2019-09-14,Peterboro,Rochdale,6,0
E2,2019-09-14,Rotherham,Bolton,6,1
E2,2019-09-14,Southend,Fleetwood Town,3,3
E2,2019-09-17,Bristol Rvs,Gillingham,1,1
E2,2019-09-17,Coventry,AFC Wimbledon,2,1
E2,2019-09-17,Doncaster,Blackpool,0,1
E2,2019-09-17,Milton Keynes Dons,Ipswich,0,1
E2,2019-09-17,Portsmouth,Burton,2,2
E2,2019-09-17,Rochdale,Lincoln,1,1
E2,2019-09-17,Shrewsbury,Southend,4,3
E2,2019-09-17,Sunderland,Rotherham,1,1
E2,2019-09-17,Tranmere,Peterboro,2,2
E2,2019-09-17,Wycombe,Accrington,1,1
E2,2019-09-17,Bolton,Oxford,0,0
E2,2019-09-21,Accrington,Blackpool,1,1
